Frente	Verso	Tema	Fonte
Em P=(S,s0,A,T,G,C), o que representa S?	Conjunto de estados possíveis	Busca não informada	Aula 05, p. 2–37
Qual a diferença entre estado e nó?	Estado é configuração; nó é estrutura do algoritmo.	Busca não informada	Aula 05, p. 2–37
A fronteira contém apenas estados já expandidos. V ou F?	Falso	Busca não informada	Aula 05, p. 2–37
Qual estrutura define a fronteira da BFS?	Fila FIFO	Busca não informada	Aula 05, p. 2–37
Qual estrutura define a fronteira da DFS iterativa?	Pilha LIFO	Busca não informada	Aula 05, p. 2–37
No grafo A:[B,C], B:[D,E], C:[F,G], E:[H], folhas restantes, qual a ordem de seleção BFS até H?	A,B,C,D,E,F,G,H	Busca não informada	Aula 05, p. 2–37
No mesmo grafo explicitado: A:[B,C], B:[D,E], C:[F,G], E:[H], folhas restantes. Qual caminho BFS de A até H?	A→B→E→H	Busca não informada	Aula 05, p. 2–37
Fila BFS [A]; A gera B,C. B é removido e gera D,E. Qual fila resulta, remoção à esquerda?	C,D,E	Busca não informada	Aula 05, p. 2–37
Pilha DFS [C,B], topo à direita. Remove B e insere E,D. Qual será o próximo removido?	D	Busca não informada	Aula 05, p. 2–37
DFS em A:[B,C], B:[D,E], C:[F,G], E:[H], folhas restantes, explorando da esquerda para a direita: seleção até H?	A,B,D,E,H	Busca não informada	Aula 05, p. 2–37
Na pilha vazia, inserir B e depois C faz qual nó sair primeiro?	C	Busca não informada	Aula 05, p. 2–37
A BFS garante menor custo quando todas as ações têm o mesmo custo positivo. V ou F?	Verdadeiro	Busca não informada	Aula 05, p. 2–37
DFS sempre encontra o menor caminho. V ou F?	Falso	Busca não informada	Aula 05, p. 2–37
Por que a DFS pode falhar em espaço infinito?	Pode seguir um ramo infinito sem explorar a alternativa com solução.	Busca não informada	Aula 05, p. 2–37
O que é backtracking?	Retornar para explorar uma alternativa pendente.	Busca não informada	Aula 05, p. 2–37
A→B custa 3, B→D custa 4, D→F custa 2. Qual g(F)?	9	Busca não informada	Aula 05, p. 2–37
No caminho A→B→D→F, qual a profundidade de F?	3	Busca não informada	Aula 05, p. 2–37
Custo Uniforme escolhe qual valor?	Menor g(n)	Busca não informada	Aula 05, p. 2–37
A→B→G tem custo 15 em 2 passos; A→C→D→G tem custo 9 em 3 passos. Qual é mais barato?	A→C→D→G	Busca não informada	Aula 05, p. 2–37
Fronteira de Custo Uniforme: B(g=7), C(g=2), D(g=5). Quem sai?	C	Busca não informada	Aula 05, p. 2–37
Busca limitada com L=2 encontra necessariamente uma solução na profundidade 3? V ou F?	Falso	Busca não informada	Aula 05, p. 2–37
Qual sequência de limites caracteriza aprofundamento iterativo?	0,1,2,3,…	Busca não informada	Aula 05, p. 2–37
O que o aprofundamento iterativo combina?	Memória da DFS e busca de soluções rasas da BFS	Busca não informada	Aula 05, p. 2–37
O que a busca bidirecional precisa fazer a partir do objetivo?	Gerar predecessores	Busca não informada	Aula 05, p. 2–37
Para b=3, quantos nós há em um nível completo de profundidade 5?	243	Busca não informada	Aula 05, p. 2–37
Com b=3, qual o total de nós até a profundidade 5, incluindo a raiz?	364	Busca não informada	Aula 05, p. 2–37
Associe b, d e m a seus significados.	b: ramificação; d: profundidade da solução mais próxima; m: profundidade máxima.	Busca não informada	Aula 05, p. 2–37
Como impedir a repetição A→B→C→A em busca em grafo?	Registrar estados explorados e controlar repetições.	Busca não informada	Aula 05, p. 2–37
Por que sequência de visitas não é necessariamente caminho da solução?	Visitas podem pertencer a ramos diferentes e não ter arestas entre si.	Busca não informada	Aula 05, p. 2–37
Na atividade A:[B,C], B:[D,E], C:[F], D:[G], E:[G,H], F:[H], G:[I], H:[I], I:[], qual caminho BFS até I, vizinhos na ordem dada?	A→B→D→G→I	Busca não informada	Aula 05, p. 2–37
O que faz T?	Descreve a transição / sucessores.	Busca não informada	Aula 05
O que faz G?	Testa se o estado é objetivo.	Busca não informada	Aula 05
O que faz C?	Atribui custo às ações/caminhos.	Busca não informada	Aula 05
Profundidade inicial?	Zero.	Busca não informada	Aula 05
Como reconstruir um caminho?	Siga pais e inverta a sequência.	Busca não informada	Aula 05
Busca em árvore pode repetir estado?	Sim, em caminhos diferentes.	Busca não informada	Aula 05
Completude significa?	Encontrar solução quando existe, sob condições.	Busca não informada	Aula 05
Otimalidade significa?	Encontrar solução de menor custo.	Busca não informada	Aula 05
DFS recursiva usa qual memória?	A pilha de chamadas.	Busca não informada	Aula 05
Limite L pode excluir solução?	Sim, se a solução estiver além de L.	Busca não informada	Aula 05
O que representa h(n)?	Estimativa do custo restante até o objetivo	Busca informada	Aula 06, p. 2–23
Qual é a prioridade da Busca Gulosa?	Menor h(n)	Busca informada	Aula 06, p. 2–23
Qual é a função de avaliação de A*?	f(n)=g(n)+h(n)	Busca informada	Aula 06, p. 2–23
Se g=4 e h=7, qual f?	11	Busca informada	Aula 06, p. 2–23
Se f=15 e g=6, qual h?	9	Busca informada	Aula 06, p. 2–23
Se g do pai é 3 e a aresta custa 5, qual g do sucessor?	8	Busca informada	Aula 06, p. 2–23
Manhattan de (2,3) até (7,6)?	8	Busca informada	Aula 06, p. 2–23
Manhattan de (0,0) até (4,4)?	8	Busca informada	Aula 06, p. 2–23
Manhattan de (3,4) até (1,1)?	5	Busca informada	Aula 06, p. 2–23
Manhattan de (−2,1) até (3,−3)?	9	Busca informada	Aula 06, p. 2–23
Euclidiana de (0,0) até (3,4)?	5	Busca informada	Aula 06, p. 2–23
Euclidiana de (2,3) até (7,6)?	√34 ≈ 5,83	Busca informada	Aula 06, p. 2–23
Gulosa tem B(h=5) e C(h=7) na fronteira. Qual seleciona?	B	Busca informada	Aula 06, p. 2–23
A* tem B(g=2,h=6), C(g=4,h=5) e E(g=4,h=4). Com empate por descoberta e B descoberto primeiro, quem sai?	B	Busca informada	Aula 06, p. 2–23
No grafo da aula: A–B=2,A–C=4,B–D=5,B–E=2,C–E=1,C–F=5,D–G=3,E–G=6,F–G=4; h(B,C,D,E,F,G)=(6,5,2,4,4,0). Gulosa, E antes de F no empate, segue qual solução?	A→C→E→G, custo 11	Busca informada	Aula 06, p. 2–23
